,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,Acquired,Acquisition type,Acquisition year
Garware Finance Corpn. Ltd.,0.5,0.68,60,0,12.24,6,5.3,,,1.04,14.9,0.64,46.67,0,53.03,36.27,37.6,6.89,6.89,0.4,14.9,0.64,46.67,0,53.03,36.27,37.6,6.89,6.89,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Garware Medcare Ltd.,2.7,0.09,-217.86,-0.32,-27.66,-27.66,50.1,4.11,5.08,0,218.3,0.03,-0.13,0.26,-0.65,-4.19,184.5,0.06,0.62,2.11,96.2,0.05,18.09,-0.6,46.82,-28.22,110.1,6.22,6.22,0.03,96.2,0.05,18.09,-0.6,46.82,-28.22,110.1,6.22,6.22,0.03,,,,,,,,,,,4.5,0,31.34,-0.47,,,260.1,31.68,31.8,0.01,,0.01,36.41,0.04,2.6,2.55,270.2,9.37,9.4,0,1.5,0.01,-303.88,0.23,-12.78,-4.19,235.6,1.05,1.1,0,6.2,0.01,-16.47,-0.92,-1.8,-1.8,226.4,171.08,171.85,0,,0.01,60.12,-0.12,4.52,4.52,235.8,1011,1011,0,,0.01,60.12,-0.12,4.52,4.52,235.8,1011,1011,0,No,,
Gas & Power Invst. Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gateway Distributor Ltd. [Merged],,0,0,0,0,0,44.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gateway Financial Services Ltd.,,0.02,12.17,0,0.58,0.58,548.5,3.8,7.44,0,,0.16,11.11,0,0.63,0.7,732.7,1.31,2.81,0.04,,0.17,11.16,0,0.52,0.51,913.7,0.58,2.06,0,,0.14,19.07,0,1.02,0.91,888.1,0.8,2.16,0.1,0.4,0.03,4.54,0.18,1.47,1.35,1120.2,0.74,1.75,0.01,,0.01,2.53,-0.16,1.62,1.03,1089.3,0.67,1.78,1.16,3,0.06,7.29,0.17,0.83,0.66,1451.3,1.47,3.22,0.06,,0.05,2.1,0.05,1.78,1.7,1477.2,1.48,3.22,0.05,,0.07,1.98,-0.04,1.44,1.24,1466.5,1.57,3.31,0.33,,0.07,1.98,-0.04,1.44,1.24,1466.5,1.57,3.31,0.33,,,,,,,,,,,No,,
Gateway Fincons India Ltd.,,0.38,0,0.03,0,0,28.3,40.25,40.25,0,,0.45,11.11,-0.03,0.36,0.36,28.5,28.2,28.2,0,,0.53,11.11,-0.02,0.36,0.36,28.5,30,30,0,,0.52,11.11,0.01,0.36,0.36,28.7,24.6,24.6,0,,0.52,11.11,0.01,0.36,0.36,28.7,24.6,24.6,0,,0.59,16.67,0,,,33.4,40.33,40.33,0,,0.49,-590,0.09,-23,-23,33.1,152,152,0,,0.48,0,0.06,0,0,31.5,,,0,,0.74,-500,-0.06,-29.97,-29.97,15.6,,,0,,0.88,-10,-0.23,-0.64,-0.64,15.5,,,0,,0.88,-10,-0.23,-0.64,-0.64,15.5,,,0,No,,
Gateway Holding & Trades Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gateway Housing Co. Ltd. [Merged],,0,0,0,,0,17.5,1.79,1.79,,,0,0,0,,0,17.5,1.79,1.79,,,0,66.67,-0.02,,,19,6.13,6.13,,,0,70.59,-0.19,,7.27,17.2,172,172,,,0.01,64.29,-0.04,200,5.13,18.1,179,179,19,,0.01,26.67,-0.01,8.7,2.35,19.4,38.4,38.4,0.93,,0.01,20,-0.04,3.55,1.81,19.9,198,198,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Mar-16
Gateways For India Airports Pvt. Ltd.,,0.04,45.86,-0.35,63.86,-68.29,24.4,2.33,2.33,0,,0.03,55,-0.02,7.12,7.12,25.5,2.47,2.47,0,,0,55.17,0,9.5,4.75,26.9,2.78,2.78,0,,0.09,59.09,-0.13,7.08,7.08,28,2.71,3,0,,0.09,100,-0.03,10.47,10.47,27.5,3.86,4.25,0,,0.09,50,0,4.63,4.63,28.4,4.08,4.48,0,,0.08,72.22,-0.01,5.71,5.71,29.8,4.23,4.63,0,,0.09,50,-0.02,3.77,3.77,31.3,4.1,4.46,0,,0.98,36,-0.01,3.64,3.64,32.7,0.05,0.39,0,,0.97,24.14,0.02,2.74,3.13,33.9,0.11,0.11,0,,0.93,-4.88,-0.23,-1.56,-26.07,27.5,1.05,1.05,0,No,,
Gati Intellects Systems Ltd.,,0.98,-37.78,0,-14.85,-4.07,82.2,5.8,5.8,2.85,,0.98,-37.78,0,-14.85,-4.07,82.2,5.8,5.8,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gati Ship Ltd.,,0,0,0,,,0.1,,,0,31.1,0.38,-222.86,0,-12.3,-8.26,2658.4,0.48,2.08,0.49,241.7,0.44,-123.63,-0.12,-20.4,-9.62,2641.8,0.81,3.8,0.83,192.3,0.44,-79.34,-0.02,-9.54,-6.16,2577.1,0.92,4.62,0.36,60.4,0.78,-1603.28,0,-65.83,-12.59,1133.5,15.85,65.65,0,,0.71,-20942.86,-0.05,-49.01,-49.04,690.2,15.76,53.47,0,,0.22,-27895.65,0.6,-179.87,-179.87,43.3,4.61,4.64,0,,0.86,-71.43,-0.7,-1.4,-1.4,40.4,1.14,6.28,0,,0.81,-482,-0.24,-103.21,-123.77,11.3,,,0,,0.81,,0.01,-1.79,-1.79,11.1,,,0,,0.81,,0.01,-1.79,-1.79,11.1,,,0,No,,
Gaurav Capital & Financial Services Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gautam Resources Ltd.,,0.4,3.7,-0.1,0.06,0.06,168.5,0.59,0.9,0,,0.68,2.56,-0.02,0.06,0.06,165.1,0.5,0.97,0,,0.68,2.56,-0.02,0.06,0.06,165.1,0.5,0.97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gautam Trade & Commerce Ltd.,,0.34,0,0.02,0,0,20.2,0.67,0.7,3.63,,0.27,76.92,0.07,68.97,25.48,18.8,0.68,0.71,0.77,,0.58,79.68,-0.38,131.28,126.32,44.5,0.49,0.51,0.15,,0.58,79.68,-0.38,131.28,126.32,44.5,0.49,0.51,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gavin Builders & Developers Pvt. Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gayaprasad Hiralal Ltd.,,0.89,2.63,0,0.63,0.37,38.3,0.01,0.5,0.72,,0.84,2.86,0,0.62,0.39,32.3,0.08,0.52,0.45,,0.84,2.86,0,0.62,0.39,32.3,0.08,0.52,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gayatri Capital Ltd.,,0.62,32.26,0.13,3.29,3.29,40.2,1.34,1.34,0,,,,,,,,,,,,0.75,,0,,,40.5,1.07,4.17,0,,0.77,,0,-0.32,-0.32,40.5,1.07,4.4,0,,0.77,,0,-0.32,-0.32,40.5,1.07,4.4,0,,0.77,0,0,,,41.7,0.93,3.96,0,,0.78,0,-0.01,0,0,40.9,0.95,4.16,0,,0.78,-105.88,-0.03,-5.94,-5.94,29.5,59,290,0,,0.78,0,0,0,0,29.6,60,291,0,,0.93,,0,-18.15,-18.15,24.7,6.5,121,0,,0.93,,0,-18.15,-18.15,24.7,6.5,121,0,No,,
Gayatri Energy Ventures Pvt. Ltd.,,0,,-0.24,-0.42,-0.42,4253.1,0,0,0,,0.09,-3390,0.51,-4.54,-3.78,7464.5,0.02,0.02,0.31,,0.11,-28233.33,0,-3.13,-2.44,7663,0.91,0.91,0.25,,0.12,,-0.13,-14.61,-11.47,7257.6,0.11,0.11,0.29,,0.12,,0.02,-3.64,-2.8,7330.9,0.13,0.13,0.3,,0.12,,-0.01,-0.8,-0.61,7340.7,0.18,0.18,0.33,,0.12,,-0.03,-11.81,-7.87,7557.6,0.18,0.18,0.69,,0.09,-397.85,0,-35.92,-21.13,10719.8,0.44,0.44,1.74,,0.09,-10030.3,0,-11.32,-3.9,10741.1,0.31,0.31,2.07,,0.19,-697.92,-0.05,-34.17,-12.44,4580,3.48,3.48,1.29,,0.19,-697.92,-0.05,-34.17,-12.44,4580,3.48,3.48,1.29,No,,
Gayatri Highways Ltd.,,0,0,0,,,0.3,0,0,,,0,0,0,,,0.3,0,0,,,0,0,0,,,0.3,0,0,,,0,0,0,,,0.3,0,0,,,0,0,0,,,0.3,0,0,,,0,0,0,,,0.2,0,0,,,0.29,0,-0.24,0,0,4037.7,0.02,0.02,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,May-16
Gayatri Infra Ventures Ltd. [Merged],15,0.68,-179.3,-0.01,-2.32,-1.89,3183.5,26.77,26.87,0.46,10.3,0.74,-1210.59,-0.05,-9.92,-6.33,3374.3,0.27,0.28,0.68,,0.74,-237.67,0.03,-9.1,-5.22,3345.4,0.02,0.02,0.81,,0.74,-993.78,0,-13.25,-6.88,3366.8,0,0,1.07,,0.74,-965.09,0,-15.29,-6.87,3380.4,0.01,0.01,1.43,,0.68,-1082.51,0.02,-19.6,-7.42,3343.3,0.82,0.82,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Nov-15
Gayatri Jhansi Roadways Ltd.,,0,0,0,0,0,3765.2,0.82,0.82,7.57,,,,,,,,,,,599,0.11,-5.98,0.15,,,3824.7,2.06,2.06,13.99,599,0.1,-0.82,0.16,-2.12,-0.16,3776.6,0.88,0.88,13.76,599,0.1,-9.5,0.14,-28.2,-1.7,3693.6,1.97,1.97,18.06,369,0.03,-4.54,0.23,-13.56,-1.04,3707.1,16.39,16.39,9.87,97.5,0.04,-0.53,0.09,-0.79,-0.12,3408,14.67,14.67,9.54,100.6,0.04,-6.86,0.14,-6.42,-0.96,3263,2.4,2.76,3.8,102.4,0.05,-53.64,0.34,-46.89,-8.6,2855.8,2.37,2.64,5.52,109.7,0.06,31.3,0.18,34.24,6.46,2882.4,2.6,2.6,3.44,109.7,0.06,31.3,0.18,34.24,6.46,2882.4,2.6,2.6,3.44,No,,
Gayatri Lalitpur Roadways Ltd.,321.1,0.02,-27.54,-0.02,-32.53,-3.09,3043.2,1.34,1.34,11.65,478.9,0.11,-9.83,0.03,-23.54,-2,3017.1,2.06,2.06,14.8,479,0.1,-5.38,0.15,-15.59,-0.94,2933.1,2.73,2.73,16.54,479,0.1,-0.43,0.16,-1.36,-0.1,2884.7,1.22,1.22,16.14,479,0.1,-4.58,0.16,-16.01,-0.89,2808,3.12,3.12,18.12,372.8,0.01,-2.05,0.23,-5.47,-0.6,2880.9,16.22,16.22,5.98,90.5,0.02,4.99,0.09,5.13,0.72,2684.3,14.84,14.84,5.37,95.6,0.01,-3.81,0.08,-3.32,-0.61,2402.6,12.5,12.5,3.73,95.8,0.11,-2.47,0.34,-2,-0.44,2280.7,2.77,2.77,3.42,101.7,0.15,28.19,0.17,23.14,6.03,2319.1,2.75,2.76,2.37,101.7,0.15,28.19,0.17,23.14,6.03,2319.1,2.75,2.76,2.37,No,,
Gayatri Share & Stock Brokers Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gaylord Commercial Co. Ltd.,,0.4,-42.86,-0.37,-1.34,-1.34,22.3,,,0,,0.12,0,0.01,0,0,22.3,,,0,,0.64,25,-0.48,0.89,0.45,22.6,8,211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Sep-12
Gaylord Impex Ltd.,,0,93.18,0,,0.82,1081.3,0,0,,,1,-389.57,0,,-36.35,510.8,0.01,0.01,,,1,-389.57,0,,-36.35,510.8,0.01,0.01,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,0,0,,,0,0,0,,0,0.1,0,0,,,,,,,-400,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,,No,,
Gaylord International Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gazi Financial Services & Investments Ltd.,0.9,0.02,0,0,0,0,43.7,106.75,106.75,0.01,,0.02,14.29,0,0.3,0.3,33.1,160.5,160.5,0.01,,0,-450,0,-2.77,-2.76,32.2,160,160,0.01,,0,-450,0,-2.77,-2.76,32.2,160,160,0.01,,,,,,,,,,,,0.25,,0,,,0.4,0.25,0.25,,,1,,-3,,,0.1,0,0,,,1,,-3,,,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gee Ispat Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,-1085.71,0,,,2463.9,0.58,0.6,,,0.08,-1085.71,0,,,2463.9,0.58,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gee Kay Real Estates Pvt. Ltd.,,0,0,0.21,0,3.03,3.4,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Geecee Fincap Ltd.,,0.27,28.39,0.63,39.72,3.08,886.6,0.49,0.78,6.88,,0.11,24.61,0.23,19.46,2.89,942.1,0.44,0.56,5.99,,0.35,23.24,-0.24,16.09,2.41,853.2,0.37,0.52,4.29,,0.39,12.88,0.15,6.26,1.41,521.8,1.2,1.83,2.06,,0.39,35.75,0.19,10.81,4.27,346.3,1.75,3,0.81,,0.33,29.44,0.32,3.82,0.04,207.6,4.41,4.41,0.05,,0.54,65.11,-0.23,17.03,16.68,232.3,36.5,36.5,0,,0.66,6.29,-0.43,4.62,3.97,326.7,0.29,0.32,0.34,,0.64,26.19,-0.1,5.12,3.53,451.5,0.1,0.12,0.74,,0.34,33.55,0.75,4.05,2.63,311.9,0.55,0.61,0,,0.24,0.85,-0.05,0.11,6.03,299,5.32,5.49,0.05,No,,
Geecee Logistics & Distributions Pvt. Ltd. [Merged],,,,,,,,,,,52.6,0.05,4.91,0,104,5.89,46.8,0.98,1.07,10.61,13.2,0.23,-34.85,-0.25,-306.67,-8.9,59.4,0.63,0.98,,5.1,0.19,-3.33,0.11,,-0.36,52.4,0.64,0.98,,7.6,0.08,-51,0.18,,-8.69,66.3,0.59,0.67,,,0.08,-50.63,0.12,,-6.54,57.9,0.56,0.64,,,0.08,-50.63,0.12,,-6.54,57.9,0.56,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Geefcee Finance Ltd.,,0.02,14.29,0,0.02,0.02,643.8,,,0,,0.01,0,0,0,0,643.9,,,0,,0.01,0,0,0,0,643.9,,,0,,0.01,0,0,0,0,643.9,1012,3881,0,,0.01,0,0,0,0,643.9,,,0,,0.01,0,0,0,0,643.9,,,0,,0.01,0,0,0,0,643.9,,,0,,0.01,0,0,0,0,644.3,254,971.25,0,,0.01,0,0,0,0,644.3,254,971.25,0,,,,,,,,,,,,,,,,,,,,,No,,
Geetanjali Credit & Capital Ltd.,,0.25,,0,-63.41,-58.87,19.1,0.25,0.25,0.11,,0.25,0,0,0,0,19,0,0,0.11,,0.23,0,0.01,0,0,19,0.67,34,0.11,,0.23,50,0.01,0.59,0.53,19.1,1.33,34.33,0.11,,0.31,25,0.01,0.85,0.79,32.4,34.25,45.5,0.06,,0.86,21.43,0.03,1.97,1.75,37.6,1.18,4.73,0.19,,0.9,22.22,-0.24,1.94,1.36,53.3,1.38,12.75,0.65,,0.91,33.33,0.1,0.64,0.46,34.9,17,71,0.11,,0.97,0,-0.07,0,0,31.7,7,85.5,0,,0.66,0,0.45,0,0,37.3,0.14,0.98,0.17,,0.66,0,0.45,0,0,37.3,0.14,0.98,0.17,No,,
Geetanjali Trading & Invsts. Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.11,-236.72,-0.02,,,15761.3,0.3,2.79,1.45,0.7,0.12,-210.32,0,-12.61,-5,14841.2,264.42,265.46,1.61,,0.12,-170.38,0,-14.08,-5.31,14867.8,1.51,1.51,1.89,,0.08,-159.34,0.04,-15.49,-4.92,14751.3,3.35,3.35,2.47,,0.05,-39.74,0.04,-6.16,-1.8,13735.9,6.2,6.2,2.4,,0.02,-65.67,0.04,-9,-2.63,13343.7,1.55,1.55,2.49,,0,85.08,0.05,90.14,46.09,13087.1,4.11,4.11,0.37,,0,85.08,0.05,90.14,46.09,13087.1,4.11,4.11,0.37,No,,
Geetee Estates Ltd.,,0.98,0,0,0,0,4.8,,,0,,0.02,66.67,0.97,4.76,4.76,45.2,0.11,0.11,0,,0,50,0,4.6,0.57,66,21.5,21.5,13.95,,0,0,0,0,0,65,0.5,0.5,13.4,,0,,0,-2.25,-0.29,64.9,1,1,0,,0,,0,-1.18,-0.26,73.1,,,4.85,,0,,0,-0.8,-0.14,73,,,4.88,,0,,0,-0.81,-0.14,73.1,0,0,4.9,,0,,0,-0.23,-0.14,73.3,,,0,,0,0,0,0,0,73.2,,,0,,0,0,0,0,0,73.2,,,0,No,,
Gembel Trade Enterprises Pvt. Ltd.,,0.26,17.14,0,,,121.6,0.48,0.48,0.26,,0.13,0,0,0,-0.16,131.7,0.39,0.39,0.37,,0.08,38.46,0.06,1.04,0.95,121.7,0.36,0.36,0.25,,0.27,82.47,-0.23,7.92,5.66,129.3,0.17,1,0.23,,0.33,51.16,-0.03,6.09,4.98,138.2,0.22,1,0.22,,0.32,65.18,0.01,6.33,6.04,143.4,0.21,1.13,0,,0.16,82.97,0.3,22.87,11.99,155.2,0.91,2.62,0,,0.04,91.58,0.14,5.65,5.72,158.3,,,0,,0.04,82.56,0.1,9.68,9.68,174.5,,,0,,0.04,82.56,0.1,9.68,9.68,174.5,,,0,,,,,,,,,,,No,,
Gemini Commercial Credits Ltd.,,0,0,0,0,0,37.2,,,0.28,,0,0,0,0,0,31.4,,,0,,0.79,0,0,0,0,31.4,,,0,,0.81,0,0,0,0,34.6,,,0,,0.81,0,0,0,0,34.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gemini Constructions Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gemini Tradelinks Ltd. [Merged],,0,87.5,-0.02,3.99,3.65,43.2,6,6,0.18,,0,87.5,-0.02,3.99,3.65,43.2,6,6,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gems Commercial Co. Ltd.,,0.39,-10.34,0.01,-1.19,-3.98,144.5,0.2,2.84,0.09,,0.37,-40.91,0.01,-3.67,-4.39,137.9,0.18,2.95,0.08,,0.34,-42.48,0,-6.89,-12.87,124.4,0.23,3.86,0.06,,0.31,7.81,-0.01,0.74,0.7,138.4,0.21,1.89,0.06,,0.22,69.23,0,13.61,2.76,125.6,0.39,3.17,0.13,,0.2,61.43,0,5.39,4.78,132,0.38,3.17,0.12,,0.2,61.43,0,5.39,4.78,132,0.38,3.17,0.12,,0.02,95.07,0.03,,,861.7,4.86,5,0.01,,0.03,83.89,0.02,4.75,3.29,835.8,6.71,6.71,0.04,,0.07,82.43,0.07,13.3,13.42,338.4,7.08,7.08,0.03,,0.07,82.43,0.07,13.3,13.42,338.4,7.08,7.08,0.03,No,,
Gemstone Investments Ltd.,,0.9,9.21,-0.01,0.96,0.95,239.1,0.23,53.87,0,,0.88,21.86,0.01,1.8,2.55,216.9,0.43,36.08,0,,0.43,17.68,0.39,1.37,1.24,229.9,0.51,16.89,0.05,,0.7,15.38,-0.27,0.84,0.44,231.5,2.09,37.37,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Jun-13
General Atlantic Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,0.24,10.22,0,,,365.7,1.81,1.81,0,717.5,0.38,12.31,0.03,29.9,29.7,695.3,1.76,1.76,0,673,0.42,11.06,0.13,19.51,19.2,833.7,1.59,1.65,0,673,0.44,12.11,0.14,18.03,17.81,969.3,1.89,1.92,0,706.8,0.42,10.19,0.07,13.34,13.21,1053,2.04,2.09,0,808.2,0.4,11.28,0.04,14.81,14.65,1251,2.06,2.06,0,1286,0.45,14.48,0,25.18,25,1648.9,1.86,1.86,0,1286,0.45,14.48,0,25.18,25,1648.9,1.86,1.86,0,,,,,,,,,,,No,,
General Engineering Corpn. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
General Insurance Corpn. Of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
General Investment Co. Ltd.,0.8,0.39,31.82,0.01,2.36,2.36,30.5,3.8,26.2,0,0.8,0.03,60.98,0.37,8,8,33.4,2.56,2.56,0,0.8,0.03,60.98,0.37,8,8,33.4,2.56,2.56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
General Sales Pvt. Ltd.,294.6,0.21,-0.64,0,-1.7,-6.27,266.8,0.64,0.78,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,-20850,0,,,116.3,0.24,0.27,1.85,,0.26,-865.52,0,-161.94,-38.96,100.8,0.17,0.31,20.55,,0.23,-200,0,-32,-1.2,109.7,0.42,0.44,32.57,,0.27,13.91,0,98.82,-27.7,102.6,0.45,3.08,13.59,,0.3,-12.5,0,-6.5,-0.43,102.8,0.15,2.92,14.92,,0.3,-12.5,0,-6.5,-0.43,102.8,0.15,2.92,14.92,No,,
General Talkies Pvt. Ltd.,0.9,0.05,22.95,0,3.55,3.55,41.4,40.6,40.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
General Wood Inds. Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Genesis Developers & Holdings Ltd.,,0.99,,0,,,16.9,,,0,,1,,0,-0.23,-0.23,326.8,0,0,0,,0.98,-1200,0.06,-0.37,-0.37,325.3,,,0,,0.97,50,-0.08,0.03,0.03,341.9,,,0,,0.97,6.25,-0.01,0.03,0.03,342,,,0,,0.97,,0,-0.29,-0.29,342.1,0.64,4.73,0,,0.97,,0,-0.23,-0.23,341.3,0.36,4.45,0,,0.97,,0,-0.18,-0.18,340.7,0.36,4.36,0,,0.12,-300,0,-0.09,-0.09,339.3,,,0,,0.12,,0,-0.06,-0.06,339.3,3,2922,0,,0.12,,0,-0.06,-0.06,339.3,3,2922,0,No,,
Genesis Finance Co. Ltd.,,0.85,9.22,-0.27,2.92,1.28,567.8,0.01,0.01,1.23,,0.88,11.35,-0.2,3.17,1.57,734,0.02,0.02,0.88,,0.88,13.15,0,3.35,1.8,749.5,0.03,0.03,0.85,,0.78,16.03,0,4.35,2.3,809.6,0.21,0.21,0.93,,0.77,17.51,0.06,4.88,2.68,787.9,0.59,0.59,0.78,,0.84,19.37,-0.21,5.18,2.57,1022.7,0.33,0.33,1.2,,0.98,20.61,-0.18,5.49,2.61,1193.7,0.04,0.04,1.01,,0.98,20.19,0.08,4.58,2.56,1153.7,0.04,0.04,0.6,,0.99,29.31,-0.12,5.51,3.55,1232,0.02,0.02,0.44,,0.98,38.16,-0.16,9.28,6.49,1428.7,0.02,0.02,0.48,,0.98,38.16,-0.16,9.28,6.49,1428.7,0.02,0.02,0.48,No,,
Genesis Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
